año,codigo_modular,codigo_local,metodo_encontrado,nombre_siagie,nombre_fya,red_fya,nivel,grado,alumnos,departamento,provincia,distrito,turno,gestion
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,PRIMERO,20,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0410316,168443,CODIGO_LOCAL,50558,50558,44,Primaria,TERCERO,5,CUSCO,QUISPICANCHI,CCARHUAYO,Ma¤ana,P£blica
2023,0409706,168626,CODIGO_LOCAL,50495,50495,44,Primaria,QUINTO,8,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0205716,169348,CODIGO_LOCAL,50796,50796,44,Primaria,SEXTO,3,CUSCO,QUISPICANCHI,MARCAPATA,Ma¤ana,P£blica
2023,0410225,169503,CODIGO_LOCAL,50547,50547,44,Primaria,QUINTO,8,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0204974,169579,CODIGO_LOCAL,50719 VIRGEN DEL CARMEN,50719 VIRGEN DEL CARMEN,44,Primaria,PRIMERO,22,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0204974,169579,CODIGO_LOCAL,50719 VIRGEN DEL CARMEN,50719 VIRGEN DEL CARMEN,44,Primaria,SEGUNDO,24,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0204974,169579,CODIGO_LOCAL,50719 VIRGEN DEL CARMEN,50719 VIRGEN DEL CARMEN,44,Primaria,QUINTO,21,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410258,169536,CODIGO_LOCAL,50552 TUPAC AMARU II,50552 TUPAC AMARU II,44,Primaria,PRIMERO,10,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410258,169536,CODIGO_LOCAL,50552 TUPAC AMARU II,50552 TUPAC AMARU II,44,Primaria,SEGUNDO,11,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410258,169536,CODIGO_LOCAL,50552 TUPAC AMARU II,50552 TUPAC AMARU II,44,Primaria,TERCERO,9,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410266,169541,CODIGO_LOCAL,50553,50553,44,Primaria,PRIMERO,1,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410266,169541,CODIGO_LOCAL,50553,50553,44,Primaria,QUINTO,2,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,SEGUNDO,20,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,CUARTO,19,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,QUINTO,24,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,SEXTO,24,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410233,169517,CODIGO_LOCAL,50550,50550,44,Primaria,SEXTO,7,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0487140,169602,CODIGO_LOCAL,50854,50854,44,Primaria,QUINTO,5,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0205401,169584,CODIGO_LOCAL,50765,50765,44,Primaria,CUARTO,2,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,SEGUNDO,20,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,QUINTO,24,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,1060276,176320,CODIGO_MODULAR,CORAS,CORAS,79,Secundaria,QUINTO,16,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana-Tarde,P£blica
2023,0933937,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Inicial - Jard¡n,Grupo 4 a¤os,22,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,1062058,168508,CODIGO_MODULAR,501344,501344,44,Primaria,CUARTO,4,CUSCO,QUISPICANCHI,CCARHUAYO,Ma¤ana,P£blica
2023,0205716,169348,CODIGO_LOCAL,50796,50796,44,Primaria,TERCERO,6,CUSCO,QUISPICANCHI,MARCAPATA,Ma¤ana,P£blica
2023,1343755,169579,CODIGO_LOCAL,50719 VIRGEN DEL CARMEN,50719 VIRGEN DEL CARMEN,44,Inicial - Jard¡n,Grupo 3 a¤os,17,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,SEGUNDO,19,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0205401,169584,CODIGO_LOCAL,50765,50765,44,Primaria,SEXTO,2,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,PRIMERO,11,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,TERCERO,12,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0420380,176235,CODIGO_LOCAL,36161 SAN VICENTE DE PAUL,36161 SAN VICENTE DE PAUL,79,Primaria,QUINTO,2,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana,P£blica
2023,0420406,176240,CODIGO_LOCAL,36163 JAVIER HERAUD PEREZ,36163 JAVIER HERAUD PEREZ,79,Primaria,CUARTO,4,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana,P£blica
2023,0420430,176358,CODIGO_LOCAL,36166 HEROES 29 DE AGOSTO,36166 HEROES 29 DE AGOSTO,79,Primaria,SEGUNDO,8,HUANCAVELICA,ACOBAMBA,MARCAS,Ma¤ana,P£blica
2023,1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,TERCERO,26,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,SEGUNDO,23,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,SEGUNDO,22,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,QUINTO,33,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0519793,168730,CODIGO_LOCAL,50912,50912,44,Primaria,SEGUNDO,3,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0410100,168669,CODIGO_LOCAL,50535,50535,44,Primaria,PRIMERO,12,CUSCO,QUISPICANCHI,CCATCA,Ma¤ana,P£blica
2023,0204974,169579,CODIGO_LOCAL,50719 VIRGEN DEL CARMEN,50719 VIRGEN DEL CARMEN,44,Primaria,CUARTO,24,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410258,169536,CODIGO_LOCAL,50552 TUPAC AMARU II,50552 TUPAC AMARU II,44,Primaria,CUARTO,14,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0410258,169536,CODIGO_LOCAL,50552 TUPAC AMARU II,50552 TUPAC AMARU II,44,Primaria,SEXTO,16,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,SEGUNDO,19,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
