id_anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,dpto,prov,dist,c_poblado,cod_local,cod_mod,anexo,nombre_iie,gestion,nivel,grado,seccion,turno,talumnos,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,0541201,0,88247 SAN ENRIQUE,P£blica,Primaria,SEGUNDO,UNICA,Ma¤ana,8,541201,27641,8,CODIGO_MODULAR_NORMALIZADO,88247 SAN ENRIQUE,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,1678879,0,693,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,LOS SABIOS,Ma¤ana,6,1678879,862206,6,CODIGO_MODULAR_EXACTO,693,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,0541201,0,88247 SAN ENRIQUE,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,10,541201,27641,10,CODIGO_MODULAR_NORMALIZADO,88247 SAN ENRIQUE,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,0686386,0,88327,P£blica,Primaria,TERCERO,A,Ma¤ana,2,686386,27716,2,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,0415117,0,86769 ABRAHAM VALDELOMAR,P£blica,Primaria,SEGUNDO,UNICA,Ma¤ana,5,415117,27556,5,CODIGO_MODULAR_NORMALIZADO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,0415117,0,86769 ABRAHAM VALDELOMAR,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,7,415117,27556,7,CODIGO_MODULAR_NORMALIZADO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,1633189,0,86769 ABRAHAM VALDELOMAR,P£blica,Secundaria,QUINTO,UNICA,Ma¤ana,15,1633189,27556,15,CODIGO_MODULAR_EXACTO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,0818682,0,87009-01,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,7,818682,27603,7,CODIGO_MODULAR_NORMALIZADO,87009-01,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,,0838455,0,HUARAC HUARAN,P£blica,Inicial - Programa no escolarizado,3 a¤os,UNICA,Ma¤ana,4,838455,99,4,CODIGO_MODULAR_NORMALIZADO,HUARAC HUARAN,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,027575,0520221,0,86809,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,2,520221,27575,2,CODIGO_MODULAR_NORMALIZADO,86809,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,0414987,0,86548 JOSE MARIA VELAZ,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,9,414987,27453,9,CODIGO_MODULAR_NORMALIZADO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,1315084,0,86548 JOSE MARIA VELAZ,P£blica,Secundaria,PRIMERO,B,Ma¤ana,20,1315084,27453,20,CODIGO_MODULAR_EXACTO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,0414987,0,86548 JOSE MARIA VELAZ,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,14,414987,27453,14,CODIGO_MODULAR_NORMALIZADO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,0414987,0,86548 JOSE MARIA VELAZ,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,11,414987,27453,11,CODIGO_MODULAR_NORMALIZADO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,1315084,0,86548 JOSE MARIA VELAZ,P£blica,Secundaria,SEGUNDO,UNICA,Ma¤ana,29,1315084,27453,29,CODIGO_MODULAR_EXACTO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.783031
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARACHUCO,027504,0415059,0,86731,P£blica,Primaria,SEGUNDO,UNICA,Ma¤ana,2,415059,27504,2,CODIGO_MODULAR_NORMALIZADO,86731,54,2025-08-09T17:53:15.783031
