anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,departamento,provincia,distrito,centro_poblado,codigo_local,periodo_promocion,codigo_modular,anexo,nombre_ie,gestion,nivel,grado,seccion,turno,total_alumnos,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,13 DE FEBRERO,364590,,1151331,0,536 MI CASITA DEL SABER,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,éNICO,Ma¤ana,19,1151331,364590,19,CODIGO_MODULAR,536 MI CASITA DEL SABER,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,13 DE FEBRERO,366259,,1147735,0,601331,P£blica,Secundaria,CUARTO,éNICO,Ma¤ana,10,1147735,366259,10,CODIGO_MODULAR,601331,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,24 DE JUNIO,366240,,0738419,0,601330,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,1,738419,366240,1,CODIGO_LOCAL,601330,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,CAHUIDE,364420,,0721647,0,405,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,ROJO,Ma¤ana,15,721647,364420,15,CODIGO_LOCAL,405,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS I ZONA,366787,,1527233,0,6010231,P£blica,Secundaria,SEGUNDO,2DO B SEC,Ma¤ana,21,1527233,366787,21,CODIGO_MODULAR,6010231,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,HUAMBE,740366,,1263219,0,601571,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,3,1263219,740366,3,CODIGO_MODULAR,601571,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO HORIZONTE,366773,,1210491,0,6010230 BARBARA D'ACHILLE,P£blica,Secundaria,PRIMERO,UNICA,Ma¤ana,13,1210491,366773,13,CODIGO_MODULAR,6010230 BARBARA D'ACHILLE,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,364873,,1152321,0,678,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICO,Ma¤ana,5,1152321,364873,5,CODIGO_MODULAR,678,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,364873,,1152321,0,678,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICO,Ma¤ana,11,1152321,364873,11,CODIGO_MODULAR,678,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,366457,,1153964,0,601448,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,6,1153964,366457,6,CODIGO_MODULAR,601448,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,366909,,0682211,0,EL MILAGRO,P£blica,Secundaria,CUARTO,UNICA,Tarde,32,682211,366909,32,CODIGO_LOCAL,EL MILAGRO,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE I ZONA,366565,,1154368,0,601511,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,4,1154368,366565,4,CODIGO_MODULAR,601511,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,13 DE FEBRERO,364590,,1151331,0,536 MI CASITA DEL SABER,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,éNICO,Ma¤ana,17,1151331,364590,17,CODIGO_MODULAR,536 MI CASITA DEL SABER,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,CAHUIDE,365622,,1261577,0,60133,P£blica,Secundaria,SEGUNDO,A,Ma¤ana,20,1261577,365622,20,CODIGO_MODULAR,60133,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EL PAUJIL,366339,,1153527,0,601391,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,2,1153527,366339,2,CODIGO_MODULAR,601391,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,HABANA,136664,,1306182,0,852,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,4,1306182,136664,4,CODIGO_MODULAR,852,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,HABANA,367150,,1261775,0,601563,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,2,1261775,367150,2,CODIGO_MODULAR,601563,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,HUAMBE,740366,,1263219,0,601571,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,3,1263219,740366,3,CODIGO_MODULAR,601571,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,MORALILLO,364415,,0721639,0,404,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICA,Ma¤ana,1,721639,364415,1,CODIGO_LOCAL,404,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,MORALILLO,364415,,0721639,0,404,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,1,721639,364415,1,CODIGO_LOCAL,404,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,MORALILLO,365655,,0398347,0,60136,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,1,398347,365655,1,CODIGO_LOCAL,60136,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,PAUJIL I ZONA,740696,,1527381,0,810,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,4,1527381,740696,4,CODIGO_MODULAR,810,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,VILLA BUEN PASTOR,364463,,0738203,0,475,P£blica,Inicial - Cuna-jard¡n,3 a¤os,UNICA,Ma¤ana,3,738203,364463,3,CODIGO_LOCAL,475,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE I ZONA,366565,,1563212,0,601511,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,UNICA,Ma¤ana,3,1563212,366565,3,CODIGO_MODULAR,601511,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE II ZONA,740347,,1273960,0,601580,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,3,1273960,740347,3,CODIGO_MODULAR,601580,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,13 DE FEBRERO,366259,,0738427,0,601331,P£blica,Primaria,QUINTO,éNICO,Ma¤ana,20,1147735,366259,20,CODIGO_LOCAL,601331,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,CAHUIDE,365622,,0398313,0,60133,P£blica,Primaria,SEXTO,B,Ma¤ana,23,398313,365622,23,CODIGO_LOCAL,60133,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,CAHUIDE,365622,,1261577,0,60133,P£blica,Secundaria,QUINTO,éNICO,Ma¤ana,13,1261577,365622,13,CODIGO_MODULAR,60133,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EL DORADO,366570,,1154400,0,601514,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,8,1154400,366570,8,CODIGO_MODULAR,601514,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS,366508,,1154129,0,601496,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,1,1154129,366508,1,CODIGO_MODULAR,601496,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS I ZONA,364613,,1151414,0,538,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,AZUL,Ma¤ana,21,1151414,364613,21,CODIGO_MODULAR,538,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS I ZONA,366787,,0683474,0,6010231,P£blica,Primaria,QUINTO,5TO A PRIM,Ma¤ana,12,683474,366787,12,CODIGO_LOCAL,6010231,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO HORIZONTE,366773,,0683466,0,6010230 BARBARA D'ACHILLE,P£blica,Primaria,CUARTO,éNICA,Ma¤ana,7,683466,366773,7,CODIGO_LOCAL,6010230 BARBARA D'ACHILLE,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,366457,,1153964,0,601448,P£blica,Primaria,SEGUNDO,UNICA,Ma¤ana,7,1153964,366457,7,CODIGO_MODULAR,601448,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,366909,,0682211,0,EL MILAGRO,P£blica,Secundaria,PRIMERO,B,Tarde,23,682211,366909,23,CODIGO_LOCAL,EL MILAGRO,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,24 DE JUNIO,366240,,0738419,0,601330,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,1,738419,366240,1,CODIGO_LOCAL,601330,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,BELEN DE JUDA,364825,,1152255,0,656,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,éNICA,Ma¤ana,2,1152255,364825,2,CODIGO_MODULAR,656,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,BELEN DE JUDA,366725,,0651398,0,6010178,P£blica,Primaria,PRIMERO,UNICA,Ma¤ana,1,651398,366725,1,CODIGO_LOCAL,6010178,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,BELEN DE JUDA,366725,,0651398,0,6010178,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,3,651398,366725,3,CODIGO_LOCAL,6010178,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,CAHUIDE,364420,,0721647,0,405,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,AMARILLO,Ma¤ana,31,721647,364420,31,CODIGO_LOCAL,405,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EL DORADO,366570,,1154400,0,601514,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,3,1154400,366570,3,CODIGO_MODULAR,601514,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EL TRIUNFO,366438,,1153881,0,601444,P£blica,Primaria,TERCERO,U,Ma¤ana,3,1153881,366438,3,CODIGO_MODULAR,601444,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE II ZONA,854843,,1151695,0,573,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,UNICA,Ma¤ana,2,1151695,854843,2,CODIGO_MODULAR,573,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS I ZONA,364613,,1151414,0,538,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,ROJO,Ma¤ana,27,1151414,364613,27,CODIGO_MODULAR,538,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS I ZONA,366787,,0683474,0,6010231,P£blica,Primaria,SEXTO,6TO B PRIM,Ma¤ana,14,683474,366787,14,CODIGO_LOCAL,6010231,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,HABANA,367150,,1261775,0,601563,P£blica,Primaria,PRIMERO,UNICA,Ma¤ana,3,1261775,367150,3,CODIGO_MODULAR,601563,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,13 DE FEBRERO,366259,,0738427,0,601331,P£blica,Primaria,CUARTO,éNICO,Ma¤ana,24,1147735,366259,24,CODIGO_LOCAL,601331,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,ANGEL CARDENAS HAYA II ZONA,740333,,1378355,0,601678,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,1,1378355,740333,1,CODIGO_MODULAR,601678,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,BELEN DE JUDA,364825,,1152255,0,656,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,éNICA,Ma¤ana,2,1152255,364825,2,CODIGO_MODULAR,656,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,CAHUIDE,365622,,0398313,0,60133,P£blica,Primaria,SEXTO,A,Ma¤ana,23,398313,365622,23,CODIGO_LOCAL,60133,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EL DORADO,366570,,1154400,0,601514,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,4,1154400,366570,4,CODIGO_MODULAR,601514,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EL DORADO,740677,,1527365,0,808,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICA,Ma¤ana,5,1527365,740677,5,CODIGO_MODULAR,808,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,EX PETROLEROS I ZONA,366787,,1527233,0,6010231,P£blica,Secundaria,SEGUNDO,2DO A SEC,Ma¤ana,21,1527233,366787,21,CODIGO_MODULAR,6010231,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,HABANA,367150,,1261775,0,601563,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,1,1261775,367150,1,CODIGO_MODULAR,601563,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVA ESPERANZA,331590,,1320001,0,601614,P£blica,Primaria,SEGUNDO,UNICA,Ma¤ana,1,1320001,331590,1,CODIGO_MODULAR,601614,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO HORIZONTE,366773,,1210491,0,6010230 BARBARA D'ACHILLE,P£blica,Secundaria,QUINTO,UNICA,Ma¤ana,8,1210491,366773,8,CODIGO_MODULAR,6010230 BARBARA D'ACHILLE,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,MORALILLO,365655,,0398347,0,60136,P£blica,Primaria,SEGUNDO,UNICA,Ma¤ana,1,398347,365655,1,CODIGO_LOCAL,60136,47,2025-08-09T17:44:45.250280
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,NUEVO MILAGRO,364873,,1152321,0,678,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,UNICO,Ma¤ana,3,1152321,364873,3,CODIGO_MODULAR,678,47,2025-08-09T17:44:45.250280
