codigo_modular,nombre_institucion,red_fya,entra_estudio_clustering,Y1_ILA,Y1_ILA_zscore,Y2_TD,Y2_TD_zscore,Y2_TD_categoria,X1_NVC,X1_NVC_zscore,X2_TR,X4_IDD,X4_IDD_zscore,X10_IE,X10_IE_zscore,X11_RED_ajustado,X11_RED,X11_RED_zscore,X12_TOE,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,X15_MEIB,total_docentes_ajustado,metodo_ajuste,numero_fya,nombre_red_fya_matched,total_estudiantes,total_docentes
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,12.333333333333334,,,,-0.3333333333333333,ESTABLE,0.4523703606773608,3.597122302158273,,6.0,SIN_AJUSTE,,,,
687194,36465 MICAELA BASTIDAS PUYUCAHUA,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,9.0,,,,-0.25,ESTABLE,0.8509806870320558,21.094980919809334,,1.0,SIN_AJUSTE,,,,
579987,JORGE CHAVEZ,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,4.842105263157895,,,,-11.2,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227098,15.839373750142583,,19.0,SIN_AJUSTE,,,,
1320001,601614,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,9.0,,,,-0.4,ESTABLE,0.5730251193553904,11.355292603237393,,1.0,SIN_AJUSTE,,,,
721639,404,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,6.0,,,,-0.25,ESTABLE,0.34755803674116903,17.007533576245187,,1.0,SIN_AJUSTE,,,,
721647,405,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,26.0,,,,0.0,ESTABLE,1.0,8.408295480788572,,3.0,SIN_AJUSTE,,,,
738203,475,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,6.5,,,,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.014595034919316685,20.327890704543545,,2.0,SIN_AJUSTE,,,,
1151331,536 MI CASITA DEL SABER,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,17.666666666666668,,,,3.5,ESTABLE,0.2596563563704499,10.719711089077357,,3.0,SIN_AJUSTE,,,,
1151414,538,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,17.5,,,,-5.4,ESTABLE,0.060289173990602185,11.969173066977644,,4.0,SIN_AJUSTE,,,,
1152057,604,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,12.0,,,,-2.3333333333333335,DECRECIMIENTO_SIGNIFICATIVO,0.014595034919316685,23.07651425592872,,1.0,SIN_AJUSTE,,,,
