codigo_modular,nombre_institucion,total_alumnos,total_docentes,X11_RED
421222,37003,35,1,35.0
1785138,36831,15,1,15.0
1151695,573,7,1,7.0
1791433,EL MILAGRO,134,2,67.0
1791466,EL MILAGRO,406,9,45.111111111111114
1678879,693,14,1,14.0
1781897,64346,25,4,6.25
3025715,5154 SANTIAGO ANTUNEZ DE MAYOLO,74,6,12.333333333333334
0428714,36153 SAYRI TUPAC,25,2,12.5
0304642,64155,81,4,20.25
0488403,88225,27,3,9.0
0481093,JOSE CARLOS MARIATEGUI,954,72,13.25
1768829,1574,7,1,7.0
0600692,NUESTRA SE¥ORA DE LA CANDELARIA,265,35,7.571428571428571
