codigo_target,X4_IDD,fuente,metodo,num_docentes
1236397,2.9928341841492214,Regresion_1_4,regresion_normalizada_r2_0.405,0
1236967,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1715416,2.989699383901847,Regresion_1_4,regresion_normalizada_r2_0.405,0
1715424,3.0007900922447983,Regresion_1_4,regresion_normalizada_r2_0.405,0
1715440,3.0123618528027456,Regresion_1_4,regresion_normalizada_r2_0.405,0
1745710,3.0061204360393092,Regresion_1_4,regresion_normalizada_r2_0.405,0
1745728,3.005930797469489,Regresion_1_4,regresion_normalizada_r2_0.405,0
697714,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
421222,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1785138,2.1243439213634905,Regresion_1_4,regresion_normalizada_r2_0.405,0
1151695,2.784962454727233,Regresion_1_4,regresion_normalizada_r2_0.405,0
1791433,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1791466,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1781897,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
2533906,3.3513919466887057,Regresion_1_4,regresion_normalizada_r2_0.405,0
3025715,2.28242866264151,Regresion_1_4,regresion_normalizada_r2_0.405,0
0304642,1.9785889061631194,Regresion_1_4,regresion_normalizada_r2_0.405,0
0488403,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
0481093,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1768829,3.197276087154033,Regresion_1_4,regresion_normalizada_r2_0.405,0
