CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,X2_TR,X10_IE,fuente,metodo,nivel_infraestructura,conectividad_digital,equipamiento_tecnologico,infraestructura_electrica,internet_operativo,equipos_total,tiene_electricidad
1153527,601391,47,2,0.4235,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.5117,0.85,0.0,3.0,1.0
1153881,601444,47,2,0.4605,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.635,0.85,0.0,5.0,1.0
1153964,601448,47,2,0.5565,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.955,0.85,0.0,17.0,1.0
1154129,601496,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1563212,601511,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1154368,601511,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1154400,601514,47,2,0.57,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,1.0,0.85,0.0,23.0,1.0
1154608,601528,47,2,0.507,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.79,0.85,0.0,6.0,1.0
1148402,6010102,47,2,0.441,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.57,0.85,0.0,10.0,1.0
651398,6010178,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1210491,6010230 BARBARA D'ACHILLE,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
683466,6010230 BARBARA D'ACHILLE,47,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1527233,6010231,47,2,0.569,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9965,0.85,0.0,202.0,1.0
683474,6010231,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
682211,EL MILAGRO,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1261775,601563,47,2,0.489,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.73,0.85,0.0,2.0,1.0
571232,58,48,2,0.5186,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8286,0.85,0.0,49.0,1.0
737783,467,48,2,0.4915,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.7383,0.85,0.0,15.0,1.0
737791,469,48,2,0.5616,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.972,0.85,0.0,25.0,1.0
937813,489 JOSE MARIA VELAZ,48,2,0.3836,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.3785,0.85,0.0,17.0,1.0
938118,731,48,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
938142,732 VIRGEN DE MONSERRAT,48,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
674895,14045,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
260307,14141,48,2,0.5755,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.802,0.015,0.85,1.0,1.0,1.0
350447,14144 SANTA ROSA,48,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1785484,FE Y ALEGRIA 48,48,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1785476,FE Y ALEGRIA 48,48,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
916023,14144 SANTA ROSA,48,1,0.8611,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.9669,0.85,1.0,148.0,1.0
260315,14145 SANTA JULIA BILLIART,48,2,0.8369,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.8865,0.85,1.0,111.0,1.0
1715820,14894,48,2,0.7855,conectividad_equipamiento,calculo_directo,Alta (0.6-0.8),0.808,0.705,0.85,1.0,7.0,1.0
571745,14894,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
350496,14924 DANIEL ALCIDES CARRION,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
571356,14924 DANIEL ALCIDES CARRION,48,2,0.5583,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9611,0.85,0.0,36.0,1.0
613943,14975,48,2,0.853,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.94,0.85,1.0,35.0,1.0
464610,15219,48,2,0.561,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.97,0.85,0.0,18.0,1.0
464628,15220,48,2,0.8345,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.8783,0.85,1.0,15.0,1.0
355271,15304,48,2,0.5434,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9113,0.85,0.0,19.0,1.0
552661,15314,48,2,0.79,conectividad_equipamiento,calculo_directo,Alta (0.6-0.8),0.802,0.73,0.85,1.0,2.0,1.0
561084,SAGRADO CORAZON DE JESUS,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
