CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,Y1_ILA_ZSCORE,Y2_TD_ZSCORE,Y3_PR_ZSCORE,X1_NVC_ZSCORE,X4_IDD_ZSCORE,X5_ED_ZSCORE,X6_CDD_ZSCORE,X10_IE_ZSCORE,X11_RED_ZSCORE,FECHA_CALCULO
350447,14144 SANTA ROSA,48,-4.9306,-80.2501,90.0,1.6699,0.2473110247983268,,,,,,,,23.473684210526315,,,,,,,,,,,23.473684210526315,2025-08-10 03:01:01
1785484,FE Y ALEGRIA 48,48,-4.9306,-80.2501,90.0,1.6679,0.2459102113991185,,,,,,,,73.66666666666667,,,,,,,,,,,44.2,2025-08-10 03:01:01
1785476,FE Y ALEGRIA 48,48,-4.9306,-80.2501,90.0,1.6679,0.2459102113991185,,,,,,,,101.75,,,,,,,,,,,40.7,2025-08-10 03:01:01
916023,14144 SANTA ROSA,48,-4.9306,-80.2501,90.0,1.6679,0.2459102113991185,,,,,,,,18.3,,,,,,,,,,,18.3,2025-08-10 03:01:01
260315,14145 SANTA JULIA BILLIART,48,-4.846,-80.2182,139.0,1.6778,0.2968001236667181,,,,,,,,23.875,,,,,,,,,,,23.875,2025-08-10 03:01:01
1715820,14894,48,-4.881,-80.1986,117.0,1.6679,0.20087839297285615,,,,,,,,15.0,,,,,,,,,,,15.0,2025-08-10 03:01:01
571745,14894,48,-4.881,-80.1986,117.0,1.6679,0.2459102113991185,,,,,,,,10.0,,,,,,,,,,,10.0,2025-08-10 03:01:01
350496,14924 DANIEL ALCIDES CARRION,48,-4.952,-80.2495,91.0,1.7562,0.3118697243594532,,,,,,,,21.157894736842106,,,,,,,,,,,21.157894736842106,2025-08-10 03:01:01
571356,14924 DANIEL ALCIDES CARRION,48,-4.952,-80.2495,91.0,1.6679,0.2459102113991185,,,,,,,,22.5,,,,,,,,,,,22.5,2025-08-10 03:01:01
613943,14975,48,-4.962,-80.2751,83.0,1.75,0.30723836557854634,,,,,,,,21.75,,,,,,,,,,,21.75,2025-08-10 03:01:01
464610,15219,48,-4.898373,-80.15871,154.0,2.0,0.4939867035183387,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
464628,15220,48,-4.8343,-80.1667,200.0,1.6679,0.2459102113991185,,,,,,,,7.5,,,,,,,,,,,7.5,2025-08-10 03:01:01
355271,15304,48,-4.9173,-80.2198,101.0,1.7037,0.2726525733920968,,,,,,,,14.0,,,,,,,,,,,14.0,2025-08-10 03:01:01
552661,15314,48,-4.920441,-80.19533,121.0,1.6679,0.2459102113991185,,,,,,,,13.5,,,,,,,,,,,13.5,2025-08-10 03:01:01
561084,SAGRADO CORAZON DE JESUS,48,-4.94231,-80.23896,94.0,1.5942,0.19567989199730004,,,,,,,,22.333333333333332,,,,,,,,,,,22.333333333333332,2025-08-10 03:01:01
355289,15383,48,-4.8894,-80.2122,121.0,1.6679,0.2459102113991185,,,,,,,,4.5,,,,,,,,,,,4.5,2025-08-10 03:01:01
673780,15478,48,-4.8315,-80.204,155.0,1.7333,0.29476357660416824,,,,,,,,10.0,,,,,,,,,,,10.0,2025-08-10 03:01:01
840595,20104,48,-4.976114,-80.22945,92.0,1.3958,0.042653320385448515,,,,,,,,21.5,,,,,,,,,,,21.5,2025-08-10 03:01:01
840504,20123,48,-4.9443,-80.2609,86.0,1.7778,0.3280047807574513,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
626424,15055,48,-4.878228,-80.14346,200.0,1.6679,0.2459102113991185,,,,,,,,7.0,,,,,,,,,,,7.0,2025-08-10 03:01:01
595082,294,72,-8.430011,-74.24303,149.0,1.5533,-0.006333162743091108,,,,,,,,31.0,,,,,,,,,,,31.0,2025-08-10 03:01:01
595108,295,72,-8.53039,-74.38295,158.0,1.5533,-0.006333162743091108,,,,,,,,16.0,,,,,,,,,,,16.0,2025-08-10 03:01:01
715011,333-B,72,-8.551025,-74.36524,156.0,1.5533,-0.006333162743091108,,,,,,,,17.25,,,,,,,,,,,17.25,2025-08-10 03:01:01
271379,64028,72,-8.43433,-74.24007,150.0,1.8485,0.08844138255902968,,,,,,,,13.2,,,,,,,,,,,13.2,2025-08-10 03:01:01
271551,64048,72,-8.525052,-74.39294,156.0,1.381,-0.18688177107866222,,,,,,,,13.0,,,,,,,,,,,13.0,2025-08-10 03:01:01
275107,64115,72,-8.530322,-74.38258,156.0,1.8095,0.1939166006861969,,,,,,,,13.666666666666666,,,,,,,,,,,13.666666666666666,2025-08-10 03:01:01
530535,64641,72,-8.441395,-74.34148,150.0,1.5533,-0.006333162743091108,,,,,,,,5.0,,,,,,,,,,,5.0,2025-08-10 03:01:01
733535,64871-B,72,-8.36197,-74.53072,146.0,1.3793,-0.11764329580348001,,,,,,,,20.4,,,,,,,,,,,20.4,2025-08-10 03:01:01
272773,64508-B,72,-8.550823,-74.36554,152.0,1.1364,-0.27302968270214933,,,,,,,,21.428571428571427,,,,,,,,,,,21.428571428571427,2025-08-10 03:01:01
273359,64545-B,72,-8.49823,-74.26322,150.0,1.1667,-0.2536463664278402,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
657122,64798,72,-8.569062,-74.24886,152.0,1.5533,-0.006333162743091108,,,,,,,,11.666666666666666,,,,,,,,,,,11.666666666666666,2025-08-10 03:01:01
666677,64829,72,-8.41556,-74.26907,151.0,2.0,0.6666666666666667,,,,,,,,12.0,,,,,,,,,,,12.0,2025-08-10 03:01:01
1568799,525-B,72,-8.576993,-74.24135,153.0,1.5533,-0.006333162743091108,,,,,,,,10.5,,,,,,,,,,,10.5,2025-08-10 03:01:01
733600,64873-B,72,-8.576993,-74.24135,153.0,1.0444,-0.33188331627430906,,,,,,,,17.25,,,,,,,,,,,17.25,2025-08-10 03:01:01
807156,64949,72,-8.487032,-74.27674,150.0,1.5533,-0.006333162743091108,,,,,,,,6.5,,,,,,,,,,,6.5,2025-08-10 03:01:01
1335744,EL MILAGRO,47,-3.93737,-73.37171,137.0,1.418,0.16871342619302718,,,,,,,,9.714285714285714,,,,,,,,,,,9.714285714285714,2025-08-10 03:01:01
1343813,ALMIRANTE MIGUEL GRAU SEMINARIO,44,-13.51765,-71.44883,3529.0,1.7418,0.3561195889131112,,,,,,,,10.714285714285714,,,,,,,,,,,10.714285714285714,2025-08-10 03:01:01
830885,64996,72,-8.4192,-74.3039,153.0,2.1667,0.3860670419651997,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
1374834,846,79,-12.90271,-74.4939,3127.0,1.5003,0.04463166689876065,,,,,,,,5.5,,,,,,,,,,,5.5,2025-08-10 03:01:01
1433515,65199,72,-8.467393,-74.23505,150.0,1.6,-0.0608675236250513,,,,,,,,7.0,,,,,,,,,,,7.0,2025-08-10 03:01:01
1457605,501432,44,-13.6625,-71.28294,4019.0,1.7418,0.35211923614345597,,,,,,,,14.75,,,,,,,,,,,14.75,2025-08-10 03:01:01
1772672,501432 PAPA FRANCISCO I,44,-13.6625,-71.28294,4019.0,1.5178,0.16969790382244138,,,,,,,,10.142857142857142,,,,,,,,,,,10.142857142857142,2025-08-10 03:01:01
1495167,843,79,-12.8572,-74.4953,3662.0,1.5003,0.04463166689876065,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
1516269,909,48,-4.845267,-80.22496,143.0,1.6679,0.2459102113991185,,,,,,,,11.666666666666666,,,,,,,,,,,11.666666666666666,2025-08-10 03:01:01
1516277,910,48,-4.9735,-80.2575,79.0,1.6679,0.2459102113991185,,,,,,,,20.0,,,,,,,,,,,20.0,2025-08-10 03:01:01
1402866,36789 NUESTRA SEÑORA DEL CARMEN,79,-12.84136,-74.33649,2171.0,1.381,-0.0384347583901963,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
428920,36207,79,-12.8516,-74.5165,3522.0,1.5833,0.11335349131565996,,,,,,,,14.333333333333334,,,,,,,,,,,14.333333333333334,2025-08-10 03:01:01
1625904,555-B,72,-8.361982,-74.53038,146.0,1.5533,-0.006333162743091108,,,,,,,,22.5,,,,,,,,,,,22.5,2025-08-10 03:01:01
1625938,559,72,-8.467311,-74.23484,151.0,1.5533,-0.006333162743091108,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
1625987,564,72,-8.52503,-74.39321,156.0,1.5533,-0.006333162743091108,,,,,,,,13.0,,,,,,,,,,,13.0,2025-08-10 03:01:01
1626001,566,72,-8.487051,-74.27648,151.0,1.5533,-0.006333162743091108,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
1741123,501455 CRISTO REY TTIKARIY,44,-13.6879,-71.28658,4112.0,1.5556,0.3260591594919445,,,,,,,,18.333333333333332,,,,,,,,,,,18.333333333333332,2025-08-10 03:01:01
1636455,501455 CRISTO REY TTIKARIY,44,-13.6879,-71.28658,4112.0,1.7418,0.3423242909987669,,,,,,,,12.0,,,,,,,,,,,12.0,2025-08-10 03:01:01
1378355,601678,47,-4.071193,-73.42664,101.0,1.418,0.16871342619302718,,,,,,,,3.5,,,,,,,,,,,3.5,2025-08-10 03:01:01
1273960,601580,47,-4.153114,-73.46204,117.0,1.418,0.16871342619302718,,,,,,,,7.5,,,,,,,,,,,7.5,2025-08-10 03:01:01
1263219,601571,47,-4.1562,-73.5042,111.0,1.25,0.03024808373856421,,,,,,,,11.0,,,,,,,,,,,11.0,2025-08-10 03:01:01
1682285,601571,47,-4.1562,-73.5042,111.0,1.418,0.16871342619302718,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
1527365,808,47,-3.95454,-73.40609,130.0,1.418,0.16871342619302718,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
