codigo_local,nombre_institucion,region,provincia,distrito,codigos_modulares,niveles_educativos,modalidades,area_censo,es_rural,es_fya,total_alumnos,total_docentes,latitud,longitud,numero_fya,unidad_ejecutora
350908,40670 EL EDEN FE Y ALEGRIA 51,DRE AREQUIPA,AREQUIPA,CERRO COLORADO,"1116854, 1116896, 1261189","Primaria, Inicial - Jardín, Secundaria",EBR,Urbana,0,1,1169,60.0,-16.3256,-71.55617,FA 51,UGEL AREQUIPA NORTE
35250,FE Y ALEGRIA 16,DRE ANCASH,SANTA,CHIMBOTE,"359059, 577098","Primaria, Secundaria",EBR,Urbana,0,1,1115,62.0,-9.09236,-78.56034,FA 16,UGEL SANTA
35641,FE Y ALEGRIA 42,DRE ANCASH,SANTA,CHIMBOTE,"1735802, 359323","Básica Especial-Inicial, Básica Especial-Primaria",EBE,Urbana,0,1,231,36.0,-9.096942,-78.56094,FA 42,UGEL SANTA
364415,404,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,721639,Inicial - Jardín,RER,Rural,1,1,6,1.0,-3.90885,-73.33874,RER FA 47,UGEL MAYNAS
364420,405,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,721647,Inicial - Jardín,RER,Rural,1,1,78,3.0,-4.230595,-73.48736,RER FA 47,UGEL MAYNAS
364463,475,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,738203,Inicial - Cuna-jardín,RER,Rural,1,1,13,2.0,-3.94947,-73.36164,RER FA 47,UGEL MAYNAS
364590,536 MI CASITA DEL SABER,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1151331,Inicial - Jardín,RER,Rural,1,1,53,3.0,-4.012181,-73.43333,RER FA 47,UGEL MAYNAS
364613,538,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1151414,Inicial - Jardín,RER,Rural,1,1,70,4.0,-4.092448,-73.45277,RER FA 47,UGEL MAYNAS
364774,604,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1152057,Inicial - Jardín,RER,Rural,1,1,12,1.0,-4.071599,-73.44553,RER FA 47,UGEL MAYNAS
364825,656,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1152255,Inicial - Jardín,RER,Rural,1,1,6,1.0,-3.97829,-73.38414,RER FA 47,UGEL MAYNAS
364873,678,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1152321,Inicial - Jardín,RER,Rural,1,1,14,1.0,-3.939339,-73.37488,RER FA 47,UGEL MAYNAS
365622,60133,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,"1261577, 398313","Secundaria, Primaria",RER,Rural,1,1,423,18.0,-4.231024,-73.48778,RER FA 47,UGEL MAYNAS
365655,60136,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,398347,Primaria,RER,Rural,1,1,14,2.0,-3.91543,-73.34032,RER FA 47,UGEL MAYNAS
365684,60181,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,398370,Primaria,RER,Rural,1,1,8,1.0,-4.099999,-73.40438,RER FA 47,UGEL MAYNAS
366240,601330,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,738419,Primaria,RER,Rural,1,1,2,1.0,-4.020995,-73.42369,RER FA 47,UGEL MAYNAS
366259,601331,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,"1147735, 738427","Secundaria, Primaria",RER,Rural,1,1,257,21.0,-4.021036,-73.43295,RER FA 47,UGEL MAYNAS
366339,601391,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1153527,Primaria,RER,Rural,1,1,15,2.0,-4.00334,-73.46991,RER FA 47,UGEL MAYNAS
366438,601444,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1153881,Primaria,RER,Rural,1,1,24,2.0,-4.154128,-73.47423,RER FA 47,UGEL MAYNAS
366457,601448,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1153964,Primaria,RER,Rural,1,1,45,3.0,-3.939261,-73.37511,RER FA 47,UGEL MAYNAS
366508,601496,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1154129,Primaria,RER,Rural,1,1,9,1.0,-4.06489,-73.47512,RER FA 47,UGEL MAYNAS
366565,601511,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,"1154368, 1563212","Primaria, Inicial - Jardín",RER,Rural,1,1,31,3.0,-4.123805,-73.4483,RER FA 47,UGEL MAYNAS
366570,601514,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1154400,Primaria,RER,Rural,1,1,28,3.0,-3.954216,-73.40653,RER FA 47,UGEL MAYNAS
366607,601528,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1154608,Primaria,RER,Rural,1,1,13,2.0,-4.042254,-73.4378,RER FA 47,UGEL MAYNAS
366674,6010102,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1148402,Primaria,RER,Rural,1,1,47,3.0,-3.948718,-73.36192,RER FA 47,UGEL MAYNAS
