CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,RED_NOMBRE,LATITUD,LONGITUD,ALTITUD_MSNM,REGION,INSTITUCION_TOOLTIP
275107,64115,72,Red Fe y Alegria 72,-8.530322,-74.38258,156,Ucayali,64115 - Red 72 (Ucayali)
530535,64641,72,Red Fe y Alegria 72,-8.441395,-74.34148,150,Ucayali,64641 - Red 72 (Ucayali)
733535,64871-B,72,Red Fe y Alegria 72,-8.36197,-74.53072,146,Ucayali,64871-B - Red 72 (Ucayali)
272773,64508-B,72,Red Fe y Alegria 72,-8.550823,-74.36554,152,Ucayali,64508-B - Red 72 (Ucayali)
273359,64545-B,72,Red Fe y Alegria 72,-8.49823,-74.26322,150,Ucayali,64545-B - Red 72 (Ucayali)
657122,64798,72,Red Fe y Alegria 72,-8.569062,-74.24886,152,Ucayali,64798 - Red 72 (Ucayali)
666677,64829,72,Red Fe y Alegria 72,-8.41556,-74.26907,151,Ucayali,64829 - Red 72 (Ucayali)
1568799,525-B,72,Red Fe y Alegria 72,-8.576993,-74.24135,153,Ucayali,525-B - Red 72 (Ucayali)
733600,64873-B,72,Red Fe y Alegria 72,-8.576993,-74.24135,153,Ucayali,64873-B - Red 72 (Ucayali)
807156,64949,72,Red Fe y Alegria 72,-8.487032,-74.27674,150,Ucayali,64949 - Red 72 (Ucayali)
1343813,ALMIRANTE MIGUEL GRAU SEMINARIO,44,Red Fe y Alegria 44,-13.51765,-71.44883,3529,Cusco,ALMIRANTE MIGUEL GRAU SEMINARIO - Red 44 (Cusco)
830885,64996,72,Red Fe y Alegria 72,-8.4192,-74.3039,153,Ucayali,64996 - Red 72 (Ucayali)
1374834,846,79,Red Fe y Alegria 79,-12.90271,-74.4939,3127,Ayacucho,846 - Red 79 (Ayacucho)
1433515,65199,72,Red Fe y Alegria 72,-8.467393,-74.23505,150,Ucayali,65199 - Red 72 (Ucayali)
1457605,501432,44,Red Fe y Alegria 44,-13.6625,-71.28294,4019,Cusco,501432 - Red 44 (Cusco)
1772672,501432 PAPA FRANCISCO I,44,Red Fe y Alegria 44,-13.6625,-71.28294,4019,Cusco,501432 PAPA FRANCISCO I - Red 44 (Cusco)
1495167,843,79,Red Fe y Alegria 79,-12.8572,-74.4953,3662,Ayacucho,843 - Red 79 (Ayacucho)
1516269,909,48,Red Fe y Alegria 48,-4.845267,-80.22496,143,Piura,909 - Red 48 (Piura)
1516277,910,48,Red Fe y Alegria 48,-4.9735,-80.2575,79,Piura,910 - Red 48 (Piura)
1402866,36789 NUESTRA SEÑORA DEL CARMEN,79,Red Fe y Alegria 79,-12.84136,-74.33649,2171,Ayacucho,36789 NUESTRA SEÑORA DEL CARMEN - Red 79 (Ayacucho)
428920,36207,79,Red Fe y Alegria 79,-12.8516,-74.5165,3522,Ayacucho,36207 - Red 79 (Ayacucho)
1625904,555-B,72,Red Fe y Alegria 72,-8.361982,-74.53038,146,Ucayali,555-B - Red 72 (Ucayali)
1625938,559,72,Red Fe y Alegria 72,-8.467311,-74.23484,151,Ucayali,559 - Red 72 (Ucayali)
