codigo_modular,nombre_institucion,region,provincia,distrito,nivel_educativo,modalidad_especifica,area_censo,es_rural,es_fya,total_alumnos,total_docentes,numero_fya
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,Primaria,RER,Rural,1,1,74,6.0,RER FA 79
428920,36207,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,Primaria,RER,Rural,1,1,43,3.0,RER FA 79
579987,JORGE CHAVEZ,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,Secundaria,RER,Rural,1,1,92,19.0,RER FA 79
686741,177,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,Inicial - Jardín,RER,Rural,1,1,18,2.0,RER FA 79
687194,36465 MICAELA BASTIDAS PUYUCAHUA,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,Primaria,RER,Rural,1,1,9,1.0,RER FA 79
290346,LA SAGRADA FAMILIA FE Y ALEGRIA 64,DRE HUANUCO,LEONCIO PRADO,RUPA-RUPA,Primaria,EBR,Urbana,0,1,400,16.0,FA 64
290809,LA SAGRADA FAMILIA FE Y ALEGRIA 64,DRE HUANUCO,LEONCIO PRADO,RUPA-RUPA,Secundaria,EBR,Urbana,0,1,347,19.0,FA 64
1425875,FE Y ALEGRIA 30,DRE ICA,CHINCHA,PUEBLO NUEVO,Inicial - Jardín,EBR,Urbana,0,1,76,3.0,FA 30
636704,FE Y ALEGRIA 30,DRE ICA,CHINCHA,PUEBLO NUEVO,Primaria,EBR,Urbana,0,1,580,24.0,FA 30
714410,FE Y ALEGRIA 30,DRE ICA,CHINCHA,PUEBLO NUEVO,Secundaria,EBR,Urbana,0,1,494,25.0,FA 30
1397348,FE Y ALEGRIA,DRE ICA,ICA,ICA,Básica Alternativa-Avanzado,EBA,Urbana,0,1,187,8.0,FA 82
1370709,FE Y ALEGRIA 70,DRE ICA,ICA,SALAS,Secundaria,EBR,Urbana,0,1,325,16.0,FA 70
1370717,FE Y ALEGRIA 70,DRE ICA,ICA,SALAS,Primaria,EBR,Urbana,0,1,418,17.0,FA 70
1370725,FE Y ALEGRIA 70,DRE ICA,ICA,SALAS,Inicial - Jardín,EBR,Urbana,0,1,180,6.0,FA 70
1367341,FE Y ALEGRIA 68,DRE ICA,PISCO,SAN CLEMENTE,Inicial - Jardín,EBR,Urbana,0,1,177,6.0,FA 68
1367358,FE Y ALEGRIA 68,DRE ICA,PISCO,SAN CLEMENTE,Primaria,EBR,Urbana,0,1,376,15.0,FA 68
1367366,FE Y ALEGRIA 68,DRE ICA,PISCO,SAN CLEMENTE,Secundaria,EBR,Urbana,0,1,406,26.0,FA 68
1393578,FE Y ALEGRIA 77,DRE ICA,PISCO,TUPAC AMARU INCA,Inicial - Jardín,EBR,Urbana,0,1,121,6.0,FA 77
1393586,FE Y ALEGRIA 77,DRE ICA,PISCO,TUPAC AMARU INCA,Primaria,EBR,Urbana,0,1,343,14.0,FA 77
1393594,FE Y ALEGRIA 77,DRE ICA,PISCO,TUPAC AMARU INCA,Secundaria,EBR,Urbana,0,1,302,19.0,FA 77
1324185,FE Y ALEGRIA 66 BUEN SOCORRO,DRE JUNIN,HUANCAYO,CHILCA,Primaria,EBR,Urbana,0,1,322,17.0,FA 66
1324193,FE Y ALEGRIA 66 BUEN SOCORRO,DRE JUNIN,HUANCAYO,CHILCA,Secundaria,EBR,Urbana,0,1,308,19.0,FA 66
1324201,FE Y ALEGRIA 66 BUEN SOCORRO,DRE JUNIN,HUANCAYO,CHILCA,Inicial - Jardín,EBR,Urbana,0,1,110,5.0,FA 66
1378702,FE Y ALEGRIA 71,DRE JUNIN,JAUJA,PANCAN,Primaria,EBR,Rural,1,1,133,9.0,FA 71
1396258,FE Y ALEGRIA 71,DRE JUNIN,JAUJA,PANCAN,Inicial - Jardín,EBR,Rural,1,1,42,3.0,FA 71
1613371,FE Y ALEGRIA 71,DRE JUNIN,JAUJA,PANCAN,Secundaria,EBR,Rural,1,1,158,12.0,FA 71
1335702,FE Y ALEGRIA 67 MARIA INMACULADA,DRE JUNIN,TARMA,TARMA,Inicial - Jardín,EBR,Urbana,0,1,62,3.0,FA 67
1335710,FE Y ALEGRIA 67 MARIA INMACULADA,DRE JUNIN,TARMA,TARMA,Primaria,EBR,Urbana,0,1,163,12.0,FA 67
1335728,FE Y ALEGRIA 67 MARIA INMACULADA,DRE JUNIN,TARMA,TARMA,Secundaria,EBR,Urbana,0,1,141,8.0,FA 67
1447499,FE Y ALEGRIA 63 SANTA MARIA DE LA PROVIDENCIA,DRE LA LIBERTAD,TRUJILLO,EL PORVENIR,Primaria,EBR,Urbana,0,1,564,21.0,FA 63
1448588,FE Y ALEGRIA 63 SANTA MARIA DE LA PROVIDENCIA,DRE LA LIBERTAD,TRUJILLO,EL PORVENIR,Inicial - Jardín,EBR,Urbana,0,1,207,8.0,FA 63
1448596,FE Y ALEGRIA 63 SANTA MARIA DE LA PROVIDENCIA,DRE LA LIBERTAD,TRUJILLO,EL PORVENIR,Secundaria,EBR,Urbana,0,1,577,24.0,FA 63
1444223,FE Y ALEGRIA 36,DRE LA LIBERTAD,TRUJILLO,LA ESPERANZA,Inicial - Jardín,EBR,Urbana,0,1,144,6.0,FA 36
577841,FE Y ALEGRIA 36,DRE LA LIBERTAD,TRUJILLO,LA ESPERANZA,Secundaria,EBR,Urbana,0,1,571,30.0,FA 36
757872,FE Y ALEGRIA 36,DRE LA LIBERTAD,TRUJILLO,LA ESPERANZA,Primaria,EBR,Urbana,0,1,586,25.0,FA 36
1385079,CEFOP LA LIBERTAD,DRE LA LIBERTAD,TRUJILLO,TRUJILLO,Instituto Superior Tecnológico,IEST,Urbana,0,1,157,24.0,FA 57AA
1419977,CEFOP LA LIBERTAD,DRE LA LIBERTAD,TRUJILLO,TRUJILLO,Técnico Productiva,CETPRO,Urbana,0,1,330,19.0,FA 57AB
1130012,FE Y ALEGRIA 28,DRE LAMBAYEQUE,CHICLAYO,CHICLAYO,Inicial - Jardín,EBR,Urbana,0,1,232,9.0,FA 28
571562,FE Y ALEGRIA 28,DRE LAMBAYEQUE,CHICLAYO,CHICLAYO,Primaria,EBR,Urbana,0,1,571,24.0,FA 28
580514,FE Y ALEGRIA 28,DRE LAMBAYEQUE,CHICLAYO,CHICLAYO,Secundaria,EBR,Urbana,0,1,571,36.0,FA 28
1268119,FE Y ALEGRIA 53,DRE LIMA METROPOLITANA,LIMA,ATE,Inicial - Jardín,EBR,Urbana,0,1,92,4.0,FA 53
1268150,FE Y ALEGRIA 53,DRE LIMA METROPOLITANA,LIMA,ATE,Primaria,EBR,Urbana,0,1,585,21.0,FA 53
1505494,FE Y ALEGRIA 53,DRE LIMA METROPOLITANA,LIMA,ATE,Secundaria,EBR,Urbana,0,1,517,24.0,FA 53
1511849,FE Y ALEGRIA 34,DRE LIMA METROPOLITANA,LIMA,CHORRILLOS,Inicial - Jardín,EBR,Urbana,0,1,28,1.0,FA 34
689927,FE Y ALEGRIA 34,DRE LIMA METROPOLITANA,LIMA,CHORRILLOS,Primaria,EBR,Urbana,0,1,569,24.0,FA 34
693663,FE Y ALEGRIA 34,DRE LIMA METROPOLITANA,LIMA,CHORRILLOS,Secundaria,EBR,Urbana,0,1,484,30.0,FA 34
1194695,FE Y ALEGRIA 08,DRE LIMA METROPOLITANA,LIMA,COMAS,Inicial - Jardín,EBR,Urbana,0,1,51,3.0,FA 8
1194737,FE Y ALEGRIA 13,DRE LIMA METROPOLITANA,LIMA,COMAS,Inicial - Jardín,EBR,Urbana,0,1,103,4.0,FA 13
